PartcipantID:1
InitialTimeStamp:17-35-23-787
block;trial;eventType;elapsedTime
1;1;Trial;71
1;1;ParticipantSkip;496
1;1;TrialAnswer;525
1;1;ParticipantAnswer;1538
1;1;InterTrialRest;1565
1;2;Trial;1709
1;2;ParticipantSkip;1926
1;2;TrialAnswer;1954
1;2;ParticipantAnswer;2964
1;2;InterTrialRest;2991
1;3;Trial;3130
1;3;ParticipantSkip;3363
1;3;TrialAnswer;3392
1;3;ParticipantAnswer;4413
1;3;InterTrialRest;4441
1;4;Trial;4578
1;4;ParticipantSkip;4757
1;4;TrialAnswer;4785
1;4;ParticipantAnswer;5794
1;4;InterTrialRest;5821
1;5;Trial;5959
1;5;ParticipantSkip;6140
1;5;TrialAnswer;6169
1;5;ParticipantAnswer;7176
1;5;InterTrialRest;7203
1;5;BDM_Auction;7341
1;5;LikertScale;17378
1;6;Trial;27425
1;6;ParticipantSkip;28475
1;6;TrialAnswer;28504
1;6;ParticipantAnswer;28790
1;6;InterTrialRest;28817
1;7;Trial;28956
1;7;ParticipantSkip;29575
1;7;TrialAnswer;29604
1;7;ParticipantAnswer;29866
1;7;InterTrialRest;29893
1;8;Trial;30031
1;8;ParticipantSkip;30380
1;8;TrialAnswer;30414
1;8;ParticipantAnswer;30566
1;8;InterTrialRest;30593
1;9;Trial;30732
1;9;ParticipantSkip;31135
1;9;TrialAnswer;31163
1;9;ParticipantAnswer;31293
1;9;InterTrialRest;31319
1;10;Trial;31464
