PartcipantID:1
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;0;0;0.3691101;1;48;(2.5,4)(8,4)(1.5,-0.5)(0,1.5)(6,-0.5)(3.5,6.5);
1;2;1;1;0.1736031;0;64;(8,-0.5)(8,3.5)(8,2)(7,6.5)(-0.5,0.5)(5.5,6.5);
1;3;1;1;0.1217079;0;55;(4.5,6.5)(8.5,5)(0,6)(2.5,-0.5)(8.5,0)(2,6.5);
1;4;0;1;0.1730251;1;17;(1.5,6.5)(-0.5,6.5)(4,-0.5)(0,-0.5)(-0.5,1.5)(2,-0.5);
1;5;0;1;0.1907501;1;38;(1.5,-0.5)(8.5,4)(-0.5,-0.5)(0,4)(-0.5,1.5)(8,1);
2;1;0;1;1.554989;1;58;(-0.5,5)(6,0)(3,-0.5)(0,0.5)(8,6.5)(8.5,3.5);
2;2;0;0;0.5830612;1;3;(2,4)(-0.5,5)(1,-0.5)(-0.5,1.5)(8,6)(5.5,-0.5);
2;3;0;0;0.08866501;1;63;(8.5,5.5)(2,2.5)(8,0.5)(3,6.5)(-0.5,5.5)(0,1);
2;4;0;1;0.1558018;1;21;(0,6)(-0.5,1.5)(0,-0.5)(7,-0.5)(-0.5,4)(4,-0.5);
2;5;1;0;0.1727619;0;54;(8.5,5.5)(-0.5,2.5)(0,6.5)(8.5,2)(4,-0.5)(0.5,-0.5);
