PartcipantID:1
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;1;1;0.7095127;0;48;(0,5.5)(0,1.5)(4,-0.5)(5.5,3.5)(8.5,3)(6,-0.5);
1;2;0;0;0.6341629;1;64;(5,-0.5)(7.5,6.5)(8,0.5)(-0.5,4.5)(8,4)(0,1);
1;3;0;0;0.1728859;1;55;(1,6.5)(-0.5,1.5)(8.5,5.5)(0,3.5)(8.5,2.5)(8.5,1);
1;4;0;1;0.1727295;1;17;(6,2.5)(8.5,3)(2,6.5)(7,6.5)(2.5,-0.5)(5.5,4.5);
1;5;1;0;0.3256054;0;38;(5,-0.5)(3,-0.5)(6,4)(8,4)(-0.5,-0.5)(2.5,3.5);
1;6;0;0;2.063911;1;35;(8,4)(-0.5,1.5)(8.5,2)(8.5,6)(0,6)(-0.5,3.5);
1;7;0;1;0.1395321;1;59;(-0.5,1.5)(0,5)(8,6)(1.5,-0.5)(8.5,4)(0,6.5);
1;8;1;1;0.1394615;0;45;(2,2.5)(8.5,3.5)(2.5,-0.5)(0,2)(0,6.5)(6.5,6.5);
1;9;0;0;0.09345436;1;80;(8,-0.5)(2,6.5)(8,3.5)(-0.5,6)(-0.5,1)(6,-0.5);
1;10;0;1;0.07102013;1;65;(0.5,6.5)(8.5,4)(8,6.5)(2.5,4)(4.5,-0.5)(0,4);
2;1;0;1;0.3954353;1;58;(7.5,-0.5)(0,1.5)(7.5,6.5)(8.5,3)(5,6.5)(8.5,4.5);
2;2;1;1;0.03389359;0;3;(2,6.5)(-0.5,3.5)(-0.5,6.5)(4,-0.5)(8,3)(7.5,0);
2;3;0;0;0.5646706;1;63;(8,0.5)(2,3)(-0.5,1.5)(2,-0.5)(6,3)(-0.5,0);
2;4;0;1;0.2580643;1;21;(1,6.5)(0,3.5)(7,-0.5)(5,0)(8.5,2)(2,3.5);
2;5;1;0;0.1741085;0;54;(-0.5,4.5)(-0.5,2.5)(-0.5,6.5)(8,6)(8.5,3)(8,4.5);
