PartcipantID:k3
InitialTimeStamp:23-07-18-569
block;trial;eventType;elapsedTime
1;1;TrialKP;59
1;1;ParticipantSkip;836
1;1;TrialAnswer;864
1;1;ParticipantAnswer;1873
1;1;InterTrialRest;1905
1;2;TrialKP;3151
1;2;ParticipantSkip;4298
1;2;TrialAnswer;4327
1;2;ParticipantAnswer;5337
1;2;InterTrialRest;5365
1;3;TrialKP;6607
1;3;ParticipantSkip;8140
1;3;TrialAnswer;8169
1;3;ParticipantAnswer;9175
1;3;InterTrialRest;9203
1;4;TrialKP;10443
1;4;ParticipantSkip;11165
1;4;TrialAnswer;11194
1;4;ParticipantAnswer;12206
1;4;InterTrialRest;12234
1;5;TrialKP;13479
1;5;ParticipantSkip;14014
1;5;TrialAnswer;14043
1;5;ParticipantAnswer;15056
1;5;InterTrialRest;15084
1;5;LikertScale;16335
1;5;BDM_Auction;21187
1;6;TrialKP;24102
1;6;ParticipantSkip;24194
1;6;TrialAnswer;24224
1;6;InterTrialRest;25264
1;7;TrialKP;26512
1;7;ParticipantSkip;26893
1;7;TrialAnswer;26923
1;7;ParticipantAnswer;26998
1;7;InterTrialRest;27026
1;8;TrialKP;28270
1;8;ParticipantSkip;28671
1;8;TrialAnswer;28700
1;8;ParticipantAnswer;28745
1;8;InterTrialRest;28774
1;9;TrialKP;30005
1;9;ParticipantSkip;30559
1;9;TrialAnswer;30587
1;9;ParticipantAnswer;30644
1;9;InterTrialRest;30672
1;10;TrialKP;31918
1;10;ParticipantSkip;32638
1;10;TrialAnswer;32666
1;10;ParticipantAnswer;32757
1;10;InterTrialRest;32785
2;0;InterBlockRest;34029
