PartcipantID:k1
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;2;0;7.620186;0;79;(-700,-284)(-800,-20)(-600,-20)(-600,-218)(600,112)(-700,-350);
1;2;0;1;6.495331;0;37;(200,310)(-300,310)(700,-20)(-700,-350)(-600,442)(300,46);
1;3;0;1;1.960623;0;12;(-300,-350)(-600,310)(-400,178)(-500,178)(400,-284)(-700,-20);
1;4;1;1;1.392759;1;7;(-300,46)(500,-20)(700,112)(-300,-218)(200,376)(300,244);
1;5;2;0;1.168255;1;77;(0,-284)(-400,-218)(500,112)(-600,46)(-500,-20)(400,112);
2;1;2;0;7.239189;0;54;(-500,244)(-600,-86)(200,310)(400,-218)(-600,46)(100,244);
2;2;2;0;3.269995;0;11;(300,442)(500,46)(200,-350)(400,244)(400,-284)(700,310);
2;3;2;0;2.705427;0;68;(300,46)(600,-350)(200,-284)(400,-152)(-300,310)(-400,244);
2;4;0;1;2.087534;0;41;(-800,-152)(300,-284)(-600,310)(0,442)(200,-350)(-100,310);
2;5;1;0;6.314039;1;33;(-500,112)(-700,112)(0,-350)(-400,-152)(500,-350)(700,46);
