PartcipantID:k3
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;0;0;0.8106842;1;68;(303.1089,175)(303.1089,-175)(0,350)(-303.1089,-175)(-303.1089,175)(4.286122E-14,-350);
1;2;1;1;1.142853;1;30;(4.286122E-14,-350)(-303.1089,175)(-303.1089,-175)(303.1089,175)(0,350)(303.1089,-175);
1;3;0;1;1.529552;1;21;(-303.1089,175)(303.1089,-175)(303.1089,175)(-303.1089,-175)(0,350)(4.286122E-14,-350);
1;4;0;1;0.7153034;1;60;(303.1089,175)(0,350)(303.1089,-175)(-303.1089,-175)(4.286122E-14,-350)(-303.1089,175);
1;5;1;1;0.5303879;0;78;(303.1089,-175)(0,350)(-303.1089,-175)(4.286122E-14,-350)(-303.1089,175)(303.1089,175);
1;6;2;0;0.07113838;0;9;(-303.1089,-175)(-303.1089,175)(4.286122E-14,-350)(303.1089,175)(303.1089,-175)(0,350);
1;7;0;0;0.377409;0;67;(4.286122E-14,-350)(0,350)(303.1089,175)(303.1089,-175)(-303.1089,-175)(-303.1089,175);
1;8;0;1;0.3953133;0;26;(303.1089,-175)(-303.1089,-175)(0,350)(-303.1089,175)(303.1089,175)(4.286122E-14,-350);
1;9;0;0;0.5474415;0;52;(303.1089,-175)(4.286122E-14,-350)(0,350)(-303.1089,175)(-303.1089,-175)(303.1089,175);
1;10;0;0;0.7158794;0;39;(0,350)(303.1089,175)(303.1089,-175)(4.286122E-14,-350)(-303.1089,175)(-303.1089,-175);
