PartcipantID:k1
RandID:1
InitialTimeStamp:13-44-49-512
block;trial;eventType;elapsedTime
1;1;TrialKP;0.05
1;1;ParticipantSkip;0.742
1;1;TrialAnswer;0.77
1;1;ParticipantAnswer;1.255
1;1;InterTrialRest;1.283
1;2;TrialKP;2.526
1;2;ParticipantSkip;2.872
1;2;TrialAnswer;2.901
1;2;ParticipantAnswer;3.044
1;2;InterTrialRest;3.072
1;3;TrialKP;4.316
1;3;ParticipantSkip;4.718
1;3;TrialAnswer;4.75
1;3;ParticipantAnswer;4.91
1;3;InterTrialRest;4.938
1;4;TrialKP;6.192
1;4;ParticipantSkip;6.507
1;4;TrialAnswer;6.535
1;4;ParticipantAnswer;6.715
1;4;InterTrialRest;6.743
1;5;TrialKP;7.994
1;5;ParticipantSkip;8.28
1;5;TrialAnswer;8.308
1;5;ParticipantAnswer;8.471
1;5;InterTrialRest;8.499
1;5;BDM_Auction;9.74
1;5;ParticipantAnswer;13.079
1;5;LikertScale;13.112
1;5;ParticipantAnswer;15.36
2;0;InterBlockRest;15.388
