PartcipantID:k5
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;1;1;0.3904686;0;39;(0,350)(303.1089,-175)(-303.1089,175)(303.1089,175)(4.286122E-14,-350)(-303.1089,-175);
1;2;1;0;0.4125366;0;34;(4.286122E-14,-350)(-303.1089,-175)(0,350)(303.1089,-175)(303.1089,175)(-303.1089,175);
1;3;0;1;0.3787251;1;38;(-303.1089,175)(4.286122E-14,-350)(-303.1089,-175)(0,350)(303.1089,175)(303.1089,-175);
1;4;0;0;0.4125977;1;32;(-303.1089,-175)(4.286122E-14,-350)(-303.1089,175)(303.1089,-175)(303.1089,175)(0,350);
1;5;0;0;0.4273911;1;36;(0,350)(303.1089,175)(-303.1089,-175)(-303.1089,175)(303.1089,-175)(4.286122E-14,-350);
2;1;0;1;0.3610268;0;12;(4.286122E-14,-350)(0,350)(303.1089,-175)(-303.1089,175)(303.1089,175)(-303.1089,-175);
2;2;0;0;0.5662422;0;15;(303.1089,175)(-303.1089,-175)(0,350)(4.286122E-14,-350)(-303.1089,175)(303.1089,-175);
2;3;0;0;0.4452591;0;14;(303.1089,-175)(-303.1089,-175)(0,350)(-303.1089,175)(303.1089,175)(4.286122E-14,-350);
2;4;0;0;0.3794479;0;20;(-303.1089,-175)(4.286122E-14,-350)(303.1089,175)(0,350)(303.1089,-175)(-303.1089,175);
2;5;0;1;0.445816;0;11;(4.286122E-14,-350)(303.1089,-175)(0,350)(-303.1089,-175)(-303.1089,175)(303.1089,175);
3;1;0;1;1.023113;0;34;(303.1089,-175)(0,350)(303.1089,175)(-303.1089,175)(-303.1089,-175)(4.286122E-14,-350);
3;2;0;0;0.5653839;0;40;(4.286122E-14,-350)(0,350)(-303.1089,175)(303.1089,-175)(303.1089,175)(-303.1089,-175);
