PartcipantID:1
InitialTimeStamp:17-31-18-417
block;trial;eventType;elapsedTime
1;1;Trial;60
1;1;ParticipantSkip;738
1;1;TrialAnswer;765
1;1;ParticipantAnswer;1778
1;1;InterTrialRest;1809
1;2;Trial;1947
1;2;ParticipantSkip;2589
1;2;TrialAnswer;2617
1;2;ParticipantAnswer;3628
1;2;InterTrialRest;3655
1;3;Trial;3793
1;3;ParticipantSkip;3972
1;3;TrialAnswer;4002
1;3;ParticipantAnswer;5018
1;3;InterTrialRest;5045
1;4;Trial;5182
1;4;ParticipantSkip;5359
1;4;TrialAnswer;5388
1;4;ParticipantAnswer;6397
1;4;InterTrialRest;6425
1;5;Trial;6563
1;5;ParticipantSkip;6896
1;5;TrialAnswer;6924
1;5;ParticipantAnswer;7932
1;5;InterTrialRest;7959
1;5;BDM_Auction;8094
1;5;LikertScale;18141
1;6;Trial;28183
1;6;ParticipantSkip;30256
1;6;TrialAnswer;30284
1;6;ParticipantAnswer;31296
1;6;InterTrialRest;31323
1;7;Trial;31461
1;7;ParticipantSkip;31605
1;7;TrialAnswer;31633
1;7;ParticipantAnswer;32642
1;7;InterTrialRest;32670
1;8;Trial;32807
1;8;ParticipantSkip;32952
1;8;TrialAnswer;32981
1;8;ParticipantAnswer;33992
1;8;InterTrialRest;34021
1;9;Trial;34157
1;9;ParticipantSkip;34270
1;9;TrialAnswer;34299
1;9;ParticipantAnswer;35313
1;9;InterTrialRest;35340
1;10;Trial;35476
1;10;ParticipantSkip;35553
1;10;TrialAnswer;35582
1;10;ParticipantAnswer;36600
1;10;InterTrialRest;36628
2;0;InterBlockRest;36762
2;1;Trial;39798
2;1;ParticipantSkip;40201
2;1;TrialAnswer;40231
2;1;ParticipantAnswer;41245
2;1;InterTrialRest;41272
2;2;Trial;41410
2;2;ParticipantSkip;41454
2;2;TrialAnswer;41483
2;2;ParticipantAnswer;42497
2;2;InterTrialRest;42524
2;3;Trial;42661
2;3;ParticipantSkip;43244
2;3;TrialAnswer;43273
2;3;ParticipantAnswer;44283
2;3;InterTrialRest;44310
2;4;Trial;44458
2;4;ParticipantSkip;44724
2;4;TrialAnswer;44753
2;4;ParticipantAnswer;45765
2;4;InterTrialRest;45792
2;5;Trial;45931
2;5;ParticipantSkip;46110
2;5;TrialAnswer;46139
2;5;ParticipantAnswer;47149
2;5;InterTrialRest;47177
2;5;BDM_Auction;47315
2;5;LikertScale;57354
