PartcipantID:k5
InitialTimeStamp:00-14-24-272
block;trial;eventType;elapsedTime
1;1;TrialKP;45
1;1;ParticipantSkip;361
1;1;TrialAnswer;391
1;1;ParticipantAnswer;1404
1;1;InterTrialRest;1431
1;2;TrialKP;2680
1;2;ParticipantSkip;3047
1;2;TrialAnswer;3077
1;2;ParticipantAnswer;4093
1;2;InterTrialRest;4120
1;3;TrialKP;5366
1;3;ParticipantSkip;5733
1;3;TrialAnswer;5763
1;3;ParticipantAnswer;6777
1;3;InterTrialRest;6805
1;4;TrialKP;8056
1;4;ParticipantSkip;8592
1;4;TrialAnswer;8621
1;4;ParticipantAnswer;9632
1;4;InterTrialRest;9660
1;5;TrialKP;10905
1;5;ParticipantSkip;11235
1;5;TrialAnswer;11267
1;5;ParticipantAnswer;12284
1;5;InterTrialRest;12312
1;5;LikertScale;13560
1;5;BDM_Auction;16945
2;0;InterBlockRest;20358
2;1;TrialKP;23417
2;1;ParticipantSkip;24430
2;1;TrialAnswer;24459
2;1;ParticipantAnswer;24975
2;1;InterTrialRest;25006
2;2;TrialKP;26261
